Ad System,Day,Campaign ID,Group ID,Ad ID,Keyword ID,Cost,Shows,Clicks
yandex.direct,2019-03-04,1329631,167879249,408701313,572135049,0.0,5,0
yandex.direct,2019-03-04,1329631,167879203,408702159,572134761,24.37,1,1
yandex.direct,2019-03-04,1329631,167879257,408701331,572135081,0.0,2,0
yandex.direct,2019-03-04,1329643,167879095,408701827,572134195,0.0,2,0
yandex.direct,2019-03-04,1329643,167879109,408701857,572134253,0.0,2,0
yandex.direct,2019-03-04,1329631,167879187,408702129,572134689,0.0,2,0
yandex.direct,2019-03-04,1329643,167879089,408701813,572134125,0.0,1,0
yandex.direct,2019-03-04,1329633,167879401,408701625,572133415,0.0,7,0
yandex.direct,2019-03-04,1329611,167879057,408701851,572133883,0.0,5,0
yandex.direct,2019-03-04,1329645,167879287,408701777,572135367,0.0,3,0
yandex.direct,2019-03-04,1329613,167879313,414198685,572135511,0.0,1,0
yandex.direct,2019-03-04,1329631,167879257,408701329,572135117,0.0,1,0
yandex.direct,2019-03-04,1329641,167879333,408701417,572133013,0.0,2,0
yandex.direct,2019-03-04,1329623,167879325,408701729,572135595,0.0,1,0
google.adwords,2019-03-04,1329691,167881573,414199219,572141883,0.0,1,0
yandex.direct,2019-03-04,1329615,167879063,414198641,572133945,0.0,3,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132443,0.0,4,0
google.adwords,2019-03-04,1329699,167881547,414199149,572139933,0.0,2,0
google.adwords,2019-03-04,1329703,167881499,414199035,572141493,0.0,1,0
yandex.direct,2019-03-04,1329611,167879051,408701643,572133851,0.0,8,0
yandex.direct,2019-03-04,1329623,167879329,408701737,572135637,13.42,1,1
yandex.direct,2019-03-04,1329629,167879133,408701925,572132809,0.0,4,0
yandex.direct,2019-03-04,1329647,167879043,408702043,572136023,0.0,3,0
